hx, hy
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.74
0.02, -0.74
0.02, -0.74
0.02, -0.74
0.02, -0.74
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.74
0.01, -0.74
0.01, -0.74
0.01, -0.74
0.01, -0.74
0.01, -0.74
0.00, -0.74
0.00, -0.74
0.00, -0.74
0.00, -0.74
0.00, -0.74
0.00, -0.74
-0.00, -0.74
-0.00, -0.74
-0.00, -0.74
-0.00, -0.74
-0.00, -0.74
-0.01, -0.74
-0.01, -0.74
-0.01, -0.74
-0.01, -0.74
-0.01, -0.74
-0.01, -0.74
-0.02, -0.74
-0.02, -0.74
-0.02, -0.74
-0.02, -0.74
-0.02, -0.74
-0.03, -0.73
-0.03, -0.73
-0.03, -0.73
-0.03, -0.73
-0.03, -0.73
-0.03, -0.73
-0.04, -0.72
-0.04, -0.72
-0.04, -0.72
-0.04, -0.72
-0.04, -0.72
-0.04, -0.72
-0.04, -0.72
-0.04, -0.72
-0.04, -0.72
-0.04, -0.72
-0.05, -0.72
-0.05, -0.72
-0.05, -0.72
-0.05, -0.72
-0.05, -0.72
-0.05, -0.72
-0.06, -0.71
-0.06, -0.71
-0.06, -0.71
-0.06, -0.71
-0.06, -0.71
-0.06, -0.71
-0.06, -0.71
-0.06, -0.71
-0.06, -0.71
-0.06, -0.71
-0.06, -0.71
-0.06, -0.71
-0.06, -0.71
-0.06, -0.71
-0.06, -0.71
-0.06, -0.71
-0.05, -0.72
-0.05, -0.72
-0.05, -0.72
-0.05, -0.72
-0.05, -0.72
-0.05, -0.72
-0.04, -0.72
-0.04, -0.72
-0.04, -0.72
-0.04, -0.72
-0.04, -0.72
-0.04, -0.73
-0.04, -0.73
-0.04, -0.73
-0.04, -0.73
-0.04, -0.73
-0.04, -0.73
-0.03, -0.73
-0.03, -0.73
-0.03, -0.73
-0.03, -0.73
-0.03, -0.73
-0.02, -0.73
-0.02, -0.73
-0.02, -0.73
-0.02, -0.73
-0.02, -0.73
-0.01, -0.74
-0.01, -0.74
-0.01, -0.74
-0.01, -0.74
-0.01, -0.74
-0.01, -0.74
-0.00, -0.74
-0.00, -0.74
-0.00, -0.74
-0.00, -0.74
-0.00, -0.74
0.01, -0.74
0.01, -0.74
0.01, -0.74
0.01, -0.74
0.01, -0.74
0.01, -0.74
0.02, -0.74
0.02, -0.74
0.02, -0.74
0.02, -0.74
0.02, -0.74
0.02, -0.74
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.04, -0.75
0.04, -0.75
0.04, -0.75
0.04, -0.75
0.04, -0.75
0.04, -0.75
0.05, -0.75
0.05, -0.75
0.05, -0.75
0.05, -0.75
0.05, -0.75
0.05, -0.75
0.07, -0.75
0.07, -0.75
0.07, -0.75
0.07, -0.75
0.07, -0.75
0.07, -0.75
0.08, -0.74
0.08, -0.74
0.08, -0.74
0.08, -0.74
0.08, -0.74
0.09, -0.74
0.09, -0.74
0.09, -0.74
0.09, -0.74
0.09, -0.74
0.09, -0.74
0.10, -0.74
0.10, -0.74
0.10, -0.74
0.10, -0.74
0.10, -0.74
0.10, -0.74
0.11, -0.73
0.11, -0.73
0.11, -0.73
0.11, -0.73
0.11, -0.73
0.11, -0.73
0.13, -0.73
0.13, -0.73
0.13, -0.73
0.13, -0.73
0.13, -0.73
0.13, -0.73
0.13, -0.72
0.13, -0.72
0.13, -0.72
0.13, -0.72
0.13, -0.72
0.13, -0.72
0.14, -0.72
0.14, -0.72
0.14, -0.72
0.14, -0.72
0.14, -0.72
0.14, -0.72
0.14, -0.71
0.14, -0.71
0.14, -0.71
0.14, -0.71
0.14, -0.71
0.15, -0.71
0.15, -0.71
0.15, -0.71
0.15, -0.71
0.15, -0.71
0.15, -0.71
0.16, -0.70
0.16, -0.70
0.16, -0.70
0.16, -0.70
0.16, -0.70
0.16, -0.70
0.17, -0.69
0.17, -0.69
0.17, -0.69
0.17, -0.69
0.17, -0.69
0.17, -0.69
0.17, -0.68
0.17, -0.68
0.17, -0.68
0.17, -0.68
0.17, -0.68
0.17, -0.68
0.18, -0.68
0.18, -0.68
0.18, -0.68
0.18, -0.68
0.18, -0.68
0.18, -0.68
0.18, -0.66
0.18, -0.66
0.18, -0.66
0.18, -0.66
0.18, -0.66
0.18, -0.66
0.19, -0.65
0.19, -0.65
0.19, -0.65
0.19, -0.65
0.19, -0.65
0.19, -0.63
0.19, -0.63
0.19, -0.63
0.19, -0.63
0.19, -0.63
0.19, -0.63
0.19, -0.62
0.19, -0.62
0.19, -0.62
0.19, -0.62
0.19, -0.62
0.19, -0.62
0.18, -0.61
0.18, -0.61
0.18, -0.61
0.18, -0.61
0.18, -0.61
0.18, -0.61
0.18, -0.59
0.18, -0.59
0.18, -0.59
0.18, -0.59
0.18, -0.59
0.18, -0.59
0.19, -0.59
0.19, -0.59
0.19, -0.59
0.19, -0.59
0.19, -0.59
0.19, -0.59
0.19, -0.58
0.19, -0.58
0.19, -0.58
0.19, -0.58
0.19, -0.58
0.19, -0.58
0.19, -0.56
0.19, -0.56
0.19, -0.56
0.19, -0.56
0.19, -0.56
0.19, -0.56
0.18, -0.55
0.18, -0.55
0.18, -0.55
0.18, -0.55
0.18, -0.55
0.17, -0.54
0.17, -0.54
0.17, -0.54
0.17, -0.54
0.17, -0.54
0.17, -0.54
0.16, -0.52
0.16, -0.52
0.16, -0.52
0.16, -0.52
0.16, -0.52
0.16, -0.52
0.16, -0.51
0.16, -0.51
0.16, -0.51
0.16, -0.51
0.16, -0.51
0.16, -0.51
0.15, -0.51
0.15, -0.51
0.15, -0.51
0.15, -0.51
0.15, -0.51
0.15, -0.51
0.14, -0.50
0.14, -0.50
0.14, -0.50
0.14, -0.50
0.14, -0.50
0.14, -0.50
0.13, -0.49
0.13, -0.49
0.13, -0.49
0.13, -0.49
0.13, -0.49
0.13, -0.49
0.12, -0.48
0.12, -0.48
0.12, -0.48
0.12, -0.48
0.12, -0.48
0.11, -0.48
0.11, -0.48
0.11, -0.48
0.11, -0.48
0.11, -0.48
0.11, -0.48
0.10, -0.48
0.10, -0.48
0.10, -0.48
0.10, -0.48
0.10, -0.48
0.10, -0.48
0.09, -0.48
0.09, -0.48
0.09, -0.48
0.09, -0.48
0.09, -0.48
0.09, -0.48
0.08, -0.48
0.08, -0.48
0.08, -0.48
0.08, -0.48
0.08, -0.48
0.08, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.06, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.05, -0.47
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.06, -0.48
0.07, -0.48
0.07, -0.48
0.07, -0.48
0.07, -0.48
0.07, -0.48
0.07, -0.48
0.08, -0.49
0.08, -0.49
0.08, -0.49
0.08, -0.49
0.08, -0.49
0.08, -0.49
0.08, -0.50
0.08, -0.50
0.08, -0.50
0.08, -0.50
0.08, -0.50
0.08, -0.50
0.08, -0.48
0.08, -0.48
0.08, -0.48
0.08, -0.48
0.08, -0.48
0.08, -0.48
0.07, -0.47
0.07, -0.47
0.07, -0.47
0.07, -0.47
0.07, -0.47
0.09, -0.48
0.09, -0.48
0.09, -0.48
0.09, -0.48
0.09, -0.48
0.09, -0.48
0.11, -0.49
0.11, -0.49
0.11, -0.49
0.11, -0.49
0.11, -0.49
0.11, -0.49
0.12, -0.50
0.12, -0.50
0.12, -0.50
0.12, -0.50
0.12, -0.50
0.12, -0.50
0.13, -0.51
0.13, -0.51
0.13, -0.51
0.13, -0.51
0.13, -0.51
0.13, -0.51
0.14, -0.51
0.14, -0.51
0.14, -0.51
0.14, -0.51
0.14, -0.51
0.14, -0.51
0.15, -0.52
0.15, -0.52
0.15, -0.52
0.15, -0.52
0.15, -0.52
0.15, -0.52
0.16, -0.54
0.16, -0.54
0.16, -0.54
0.16, -0.54
0.16, -0.54
0.16, -0.54
0.18, -0.55
0.18, -0.55
0.18, -0.55
0.18, -0.55
0.18, -0.55
0.19, -0.58
0.19, -0.58
0.19, -0.58
0.19, -0.58
0.19, -0.58
0.19, -0.58
0.20, -0.60
0.20, -0.60
0.20, -0.60
0.20, -0.60
0.20, -0.60
0.20, -0.60
0.20, -0.62
0.20, -0.62
0.20, -0.62
0.20, -0.62
0.20, -0.62
0.20, -0.62
0.18, -0.64
0.18, -0.64
0.18, -0.64
0.18, -0.64
0.18, -0.64
0.18, -0.64
0.17, -0.65
0.17, -0.65
0.17, -0.65
0.17, -0.65
0.17, -0.65
0.17, -0.65
0.16, -0.68
0.16, -0.68
0.16, -0.68
0.16, -0.68
0.16, -0.68
0.16, -0.68
0.15, -0.69
0.15, -0.69
0.15, -0.69
0.15, -0.69
0.15, -0.69
0.14, -0.70
0.14, -0.70
0.14, -0.70
0.14, -0.70
0.14, -0.70
0.14, -0.70
0.12, -0.72
0.12, -0.72
0.12, -0.72
0.12, -0.72
0.12, -0.72
0.12, -0.72
0.10, -0.73
0.10, -0.73
0.10, -0.73
0.10, -0.73
0.10, -0.73
0.10, -0.73
0.08, -0.74
0.08, -0.74
0.08, -0.74
0.08, -0.74
0.08, -0.74
0.08, -0.74
0.06, -0.74
0.06, -0.74
0.06, -0.74
0.06, -0.74
0.06, -0.74
0.06, -0.74
0.05, -0.75
0.05, -0.75
0.05, -0.75
0.05, -0.75
0.05, -0.75
0.05, -0.75
0.04, -0.75
0.04, -0.75
0.04, -0.75
0.04, -0.75
0.04, -0.75
0.04, -0.75
0.03, -0.74
0.03, -0.74
0.03, -0.74
0.03, -0.74
0.03, -0.74
-0.01, -0.73
-0.01, -0.73
-0.01, -0.73
-0.01, -0.73
-0.01, -0.73
-0.01, -0.73
-0.02, -0.73
-0.02, -0.73
-0.02, -0.73
-0.02, -0.73
-0.02, -0.73
-0.04, -0.72
-0.04, -0.72
-0.04, -0.72
-0.04, -0.72
-0.04, -0.72
-0.04, -0.72
-0.05, -0.70
-0.05, -0.70
-0.05, -0.70
-0.05, -0.70
-0.05, -0.70
-0.07, -0.69
-0.07, -0.69
-0.07, -0.69
-0.07, -0.69
-0.07, -0.69
-0.07, -0.69
-0.09, -0.67
-0.09, -0.67
-0.09, -0.67
-0.09, -0.67
-0.09, -0.67
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.62
-0.10, -0.62
-0.10, -0.62
-0.10, -0.62
-0.10, -0.62
-0.10, -0.61
-0.10, -0.61
-0.10, -0.61
-0.10, -0.61
-0.10, -0.61
-0.10, -0.60
-0.10, -0.60
-0.10, -0.60
-0.10, -0.60
-0.10, -0.60
-0.10, -0.60
-0.10, -0.60
-0.10, -0.60
-0.10, -0.60
-0.10, -0.60
-0.10, -0.60
-0.10, -0.61
-0.10, -0.61
-0.10, -0.61
-0.10, -0.61
-0.10, -0.61
-0.10, -0.61
-0.10, -0.62
-0.10, -0.62
-0.10, -0.62
-0.10, -0.62
-0.10, -0.62
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.65
-0.10, -0.65
-0.10, -0.65
-0.10, -0.65
-0.10, -0.65
-0.10, -0.65
-0.10, -0.67
-0.10, -0.67
-0.10, -0.67
-0.10, -0.67
-0.10, -0.67
-0.09, -0.68
-0.09, -0.68
-0.09, -0.68
-0.09, -0.68
-0.09, -0.68
-0.08, -0.69
-0.08, -0.69
-0.08, -0.69
-0.08, -0.69
-0.08, -0.69
-0.08, -0.69
-0.07, -0.70
-0.07, -0.70
-0.07, -0.70
-0.07, -0.70
-0.07, -0.70
-0.07, -0.71
-0.07, -0.71
-0.07, -0.71
-0.07, -0.71
-0.07, -0.71
-0.07, -0.71
-0.06, -0.72
-0.06, -0.72
-0.06, -0.72
-0.06, -0.72
-0.06, -0.72
-0.05, -0.72
-0.05, -0.72
-0.05, -0.72
-0.05, -0.72
-0.05, -0.72
-0.05, -0.72
-0.04, -0.73
-0.04, -0.73
-0.04, -0.73
-0.04, -0.73
-0.04, -0.73
-0.03, -0.74
-0.03, -0.74
-0.03, -0.74
-0.03, -0.74
-0.03, -0.74
-0.03, -0.74
-0.02, -0.74
-0.02, -0.74
-0.02, -0.74
-0.02, -0.74
-0.02, -0.74
-0.01, -0.75
-0.01, -0.75
-0.01, -0.75
-0.01, -0.75
-0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.02, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.05, -0.76
0.05, -0.76
0.05, -0.76
0.05, -0.76
0.05, -0.76
0.05, -0.76
0.06, -0.75
0.06, -0.75
0.06, -0.75
0.06, -0.75
0.06, -0.75
0.06, -0.75
0.07, -0.75
0.07, -0.75
0.07, -0.75
0.07, -0.75
0.07, -0.75
0.07, -0.75
0.07, -0.75
0.07, -0.75
0.07, -0.75
0.07, -0.75
0.07, -0.75
0.05, -0.75
0.06, -0.75
0.06, -0.75
0.06, -0.75
0.06, -0.75
0.06, -0.75
0.04, -0.75
0.04, -0.75
0.04, -0.75
0.04, -0.75
0.04, -0.75
0.04, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.03, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
0.01, -0.75
-0.01, -0.74
-0.01, -0.74
-0.01, -0.74
-0.01, -0.74
-0.01, -0.74
-0.03, -0.73
-0.03, -0.73
-0.03, -0.73
-0.03, -0.73
-0.03, -0.73
-0.03, -0.73
-0.05, -0.72
-0.05, -0.72
-0.05, -0.72
-0.05, -0.72
-0.05, -0.72
-0.07, -0.70
-0.07, -0.70
-0.07, -0.70
-0.07, -0.70
-0.07, -0.70
-0.07, -0.70
-0.09, -0.69
-0.09, -0.69
-0.09, -0.69
-0.09, -0.69
-0.09, -0.69
-0.09, -0.68
-0.09, -0.68
-0.09, -0.68
-0.09, -0.68
-0.09, -0.68
-0.09, -0.68
-0.09, -0.68
-0.09, -0.68
-0.09, -0.68
-0.09, -0.68
-0.09, -0.68
-0.09, -0.67
-0.09, -0.67
-0.09, -0.67
-0.09, -0.67
-0.09, -0.67
-0.09, -0.67
-0.10, -0.66
-0.10, -0.66
-0.10, -0.66
-0.10, -0.66
-0.10, -0.66
-0.10, -0.65
-0.10, -0.65
-0.10, -0.65
-0.10, -0.65
-0.10, -0.65
-0.12, -0.63
-0.12, -0.63
-0.12, -0.63
-0.12, -0.63
-0.12, -0.63
-0.12, -0.63
-0.12, -0.62
-0.12, -0.62
-0.12, -0.62
-0.12, -0.62
-0.12, -0.62
-0.11, -0.60
-0.11, -0.60
-0.11, -0.60
-0.11, -0.60
-0.11, -0.60
-0.11, -0.60
-0.11, -0.59
-0.11, -0.59
-0.11, -0.59
-0.11, -0.59
-0.11, -0.59
-0.10, -0.58
-0.10, -0.58
-0.10, -0.58
-0.10, -0.58
-0.10, -0.58
-0.10, -0.58
-0.09, -0.57
-0.09, -0.57
-0.09, -0.57
-0.09, -0.57
-0.09, -0.57
-0.09, -0.56
-0.09, -0.56
-0.09, -0.56
-0.09, -0.56
-0.09, -0.56
-0.09, -0.56
-0.08, -0.55
-0.08, -0.55
-0.08, -0.55
-0.08, -0.55
-0.08, -0.55
-0.08, -0.55
-0.08, -0.55
-0.08, -0.55
-0.08, -0.55
-0.08, -0.55
-0.08, -0.54
-0.08, -0.54
-0.08, -0.54
-0.08, -0.54
-0.08, -0.54
-0.08, -0.54
-0.08, -0.54
-0.08, -0.54
-0.08, -0.54
-0.08, -0.54
-0.08, -0.54
-0.09, -0.54
-0.09, -0.54
-0.09, -0.54
-0.09, -0.54
-0.09, -0.54
-0.09, -0.54
