hx, hy
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.46
-0.03, 0.46
-0.03, 0.46
-0.03, 0.46
-0.03, 0.46
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.03, 0.45
-0.02, 0.45
-0.02, 0.45
-0.02, 0.45
-0.02, 0.45
-0.02, 0.45
-0.02, 0.45
-0.02, 0.45
-0.02, 0.45
-0.02, 0.45
-0.02, 0.45
-0.02, 0.45
-0.02, 0.45
-0.01, 0.45
-0.01, 0.45
-0.01, 0.45
-0.01, 0.45
-0.01, 0.45
-0.01, 0.45
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
-0.01, 0.44
0.00, 0.44
0.00, 0.44
0.00, 0.44
0.00, 0.44
0.00, 0.44
0.00, 0.44
0.01, 0.45
0.01, 0.45
0.01, 0.45
0.01, 0.45
0.01, 0.45
0.01, 0.45
0.04, 0.45
0.04, 0.45
0.04, 0.45
0.04, 0.45
0.04, 0.45
0.04, 0.45
0.04, 0.45
0.06, 0.45
0.06, 0.45
0.06, 0.45
0.06, 0.45
0.06, 0.45
0.06, 0.45
0.07, 0.46
0.07, 0.46
0.07, 0.46
0.07, 0.46
0.07, 0.46
0.07, 0.46
0.07, 0.46
0.08, 0.47
0.08, 0.47
0.08, 0.47
0.08, 0.47
0.08, 0.47
0.08, 0.47
0.09, 0.48
0.09, 0.48
0.09, 0.48
0.09, 0.48
0.09, 0.48
0.09, 0.48
0.09, 0.48
0.10, 0.49
0.10, 0.49
0.10, 0.49
0.10, 0.49
0.10, 0.49
0.10, 0.49
0.10, 0.50
0.10, 0.50
0.10, 0.50
0.10, 0.50
0.10, 0.50
0.10, 0.50
