hx, hy
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.09, -0.64
-0.09, -0.64
-0.09, -0.64
-0.09, -0.64
-0.09, -0.64
-0.09, -0.64
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.63
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.64
-0.10, -0.65
-0.10, -0.65
-0.10, -0.65
-0.10, -0.65
-0.10, -0.65
-0.10, -0.66
-0.10, -0.66
-0.10, -0.66
-0.10, -0.66
-0.10, -0.66
-0.10, -0.66
-0.10, -0.66
-0.10, -0.66
-0.10, -0.66
-0.10, -0.66
-0.10, -0.66
-0.09, -0.67
-0.09, -0.67
-0.09, -0.67
-0.09, -0.67
-0.09, -0.67
-0.09, -0.67
-0.09, -0.68
-0.09, -0.68
-0.09, -0.68
-0.09, -0.68
-0.09, -0.68
-0.09, -0.69
-0.09, -0.69
-0.09, -0.69
-0.09, -0.69
-0.09, -0.69
-0.09, -0.69
-0.08, -0.70
-0.08, -0.70
-0.08, -0.70
-0.08, -0.70
-0.08, -0.70
-0.07, -0.71
-0.07, -0.71
-0.07, -0.71
-0.07, -0.71
-0.07, -0.71
-0.07, -0.71
-0.06, -0.72
-0.06, -0.72
-0.06, -0.72
-0.06, -0.72
-0.06, -0.72
-0.05, -0.73
-0.05, -0.73
-0.05, -0.73
-0.05, -0.73
-0.05, -0.73
-0.04, -0.74
-0.04, -0.74
-0.04, -0.74
-0.04, -0.74
-0.04, -0.74
-0.04, -0.74
-0.03, -0.74
-0.03, -0.74
-0.03, -0.74
-0.03, -0.74
-0.03, -0.74
-0.02, -0.75
-0.02, -0.75
-0.02, -0.75
-0.02, -0.75
-0.02, -0.75
-0.02, -0.75
-0.00, -0.75
-0.00, -0.75
-0.00, -0.75
-0.00, -0.75
-0.00, -0.75
0.01, -0.76
0.01, -0.76
0.01, -0.76
0.01, -0.76
0.01, -0.76
0.01, -0.76
0.03, -0.76
0.03, -0.76
0.03, -0.76
0.03, -0.76
0.03, -0.76
0.03, -0.76
0.05, -0.76
0.05, -0.76
0.05, -0.76
0.05, -0.76
0.05, -0.76
0.05, -0.76
0.06, -0.76
0.06, -0.76
0.06, -0.76
0.06, -0.76
0.06, -0.76
0.06, -0.76
0.07, -0.76
0.07, -0.76
0.07, -0.76
0.07, -0.76
0.07, -0.76
0.07, -0.76
0.09, -0.75
0.09, -0.75
0.09, -0.75
0.09, -0.75
0.09, -0.75
0.09, -0.75
0.09, -0.75
0.09, -0.75
0.09, -0.75
0.09, -0.75
0.09, -0.75
0.10, -0.75
0.10, -0.75
0.10, -0.75
0.10, -0.75
0.10, -0.75
0.10, -0.75
0.09, -0.75
0.09, -0.75
0.09, -0.75
0.09, -0.75
0.09, -0.75
0.09, -0.75
0.08, -0.76
0.08, -0.76
