hx, hy
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.09
-0.32, 0.08
-0.32, 0.08
-0.32, 0.08
-0.32, 0.08
-0.32, 0.08
-0.32, 0.08
-0.32, 0.08
-0.32, 0.08
-0.32, 0.08
-0.32, 0.08
-0.32, 0.08
-0.32, 0.08
-0.32, 0.07
-0.32, 0.07
-0.32, 0.07
-0.32, 0.07
-0.32, 0.07
-0.32, 0.07
-0.32, 0.07
-0.32, 0.07
-0.32, 0.07
-0.32, 0.07
-0.32, 0.07
-0.32, 0.07
-0.32, 0.06
-0.32, 0.06
-0.32, 0.06
-0.32, 0.06
-0.32, 0.06
-0.32, 0.06
-0.31, 0.05
-0.31, 0.05
-0.31, 0.05
-0.31, 0.05
-0.31, 0.05
-0.31, 0.05
-0.31, 0.04
-0.31, 0.04
-0.31, 0.04
-0.31, 0.04
-0.31, 0.04
-0.31, 0.04
-0.31, 0.03
-0.30, 0.03
-0.30, 0.03
-0.30, 0.03
-0.30, 0.03
-0.30, 0.03
-0.30, 0.03
-0.29, 0.02
-0.29, 0.02
-0.29, 0.02
-0.29, 0.02
-0.29, 0.02
-0.29, 0.02
-0.28, 0.00
-0.28, 0.00
-0.28, 0.00
-0.28, 0.00
-0.28, 0.00
-0.28, 0.00
-0.28, -0.00
-0.28, -0.00
-0.28, -0.00
-0.28, -0.00
-0.28, -0.00
-0.27, -0.01
-0.27, -0.01
-0.27, -0.01
-0.27, -0.01
-0.27, -0.01
-0.27, -0.01
-0.26, -0.02
-0.26, -0.02
-0.26, -0.02
-0.26, -0.02
-0.26, -0.02
-0.24, -0.02
-0.24, -0.02
-0.24, -0.02
-0.24, -0.02
-0.24, -0.02
-0.24, -0.02
-0.24, -0.03
-0.24, -0.03
-0.24, -0.03
-0.24, -0.03
-0.24, -0.03
-0.24, -0.03
-0.23, -0.03
-0.23, -0.03
-0.23, -0.03
-0.23, -0.03
-0.23, -0.03
-0.21, -0.04
-0.21, -0.04
-0.21, -0.04
-0.21, -0.04
-0.21, -0.04
-0.21, -0.04
-0.19, -0.04
-0.19, -0.04
-0.19, -0.04
-0.19, -0.04
-0.19, -0.04
-0.18, -0.05
-0.18, -0.05
-0.18, -0.05
-0.18, -0.05
-0.18, -0.05
-0.18, -0.05
-0.16, -0.04
-0.16, -0.04
-0.16, -0.04
-0.16, -0.04
-0.16, -0.04
-0.14, -0.04
-0.14, -0.04
-0.14, -0.04
-0.14, -0.04
-0.14, -0.04
-0.14, -0.04
-0.12, -0.03
-0.12, -0.03
-0.12, -0.03
-0.12, -0.03
-0.12, -0.03
-0.12, -0.03
-0.10, -0.02
-0.10, -0.02
-0.10, -0.02
-0.10, -0.02
-0.10, -0.02
-0.09, -0.02
-0.09, -0.02
-0.09, -0.02
-0.09, -0.02
-0.09, -0.02
-0.09, -0.02
-0.09, -0.02
-0.09, -0.02
-0.09, -0.02
-0.09, -0.02
-0.09, -0.02
-0.07, -0.02
-0.07, -0.02
-0.07, -0.02
-0.07, -0.02
-0.07, -0.02
-0.07, -0.02
-0.07, -0.02
-0.07, -0.02
-0.07, -0.02
-0.07, -0.02
-0.07, -0.02
-0.07, -0.02
-0.07, -0.01
-0.07, -0.01
-0.07, -0.01
-0.07, -0.01
-0.07, -0.01
-0.07, -0.01
-0.07, -0.01
-0.07, -0.01
-0.07, -0.01
-0.07, -0.01
-0.07, -0.01
-0.07, 0.00
-0.07, 0.00
-0.07, 0.00
-0.07, 0.00
-0.07, 0.00
-0.07, 0.00
-0.06, 0.01
-0.06, 0.01
-0.06, 0.01
-0.06, 0.01
-0.06, 0.01
-0.06, 0.01
-0.04, 0.02
-0.04, 0.02
-0.04, 0.02
-0.04, 0.02
-0.04, 0.02
-0.04, 0.02
-0.04, 0.03
-0.04, 0.03
-0.04, 0.03
-0.04, 0.03
-0.04, 0.03
-0.04, 0.03
-0.04, 0.04
-0.04, 0.04
-0.04, 0.04
-0.04, 0.04
-0.04, 0.04
-0.04, 0.04
-0.04, 0.05
-0.04, 0.05
-0.04, 0.05
-0.04, 0.05
-0.04, 0.05
-0.04, 0.05
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.03, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.02, 0.06
-0.01, 0.06
-0.01, 0.06
-0.01, 0.06
-0.01, 0.06
-0.01, 0.06
-0.01, 0.06
0.00, 0.05
0.00, 0.05
0.00, 0.05
0.00, 0.05
0.00, 0.05
0.00, 0.05
-0.01, 0.04
-0.01, 0.04
-0.01, 0.04
-0.01, 0.04
-0.01, 0.04
-0.01, 0.04
-0.02, 0.02
-0.02, 0.02
-0.02, 0.02
-0.02, 0.02
-0.02, 0.02
-0.02, 0.02
-0.03, 0.01
-0.03, 0.01
-0.03, 0.01
-0.03, 0.01
-0.03, 0.01
-0.03, 0.01
-0.05, -0.01
-0.05, -0.01
-0.05, -0.01
-0.05, -0.01
-0.05, -0.01
-0.05, -0.01
-0.07, -0.02
-0.07, -0.02
-0.07, -0.02
-0.07, -0.02
-0.07, -0.02
-0.07, -0.02
-0.09, -0.03
-0.09, -0.03
-0.09, -0.03
-0.09, -0.03
-0.09, -0.03
-0.10, -0.03
-0.10, -0.03
-0.10, -0.03
-0.10, -0.03
-0.10, -0.03
-0.10, -0.03
-0.12, -0.04
-0.12, -0.04
-0.12, -0.04
-0.12, -0.04
-0.12, -0.04
-0.14, -0.04
-0.14, -0.04
-0.14, -0.04
-0.14, -0.04
-0.14, -0.04
-0.14, -0.04
-0.16, -0.04
-0.16, -0.04
-0.16, -0.04
-0.16, -0.04
-0.16, -0.04
-0.18, -0.03
-0.18, -0.03
-0.18, -0.03
-0.18, -0.03
-0.18, -0.03
-0.18, -0.03
-0.20, -0.03
-0.20, -0.03
-0.20, -0.03
-0.20, -0.03
-0.20, -0.03
-0.20, -0.03
-0.21, -0.03
-0.21, -0.03
-0.21, -0.03
-0.21, -0.03
-0.21, -0.03
-0.23, -0.01
-0.23, -0.01
-0.23, -0.01
-0.23, -0.01
-0.23, -0.01
-0.23, -0.01
-0.25, -0.01
-0.25, -0.01
-0.25, -0.01
-0.25, -0.01
-0.25, -0.01
-0.26, 0.01
-0.26, 0.01
-0.26, 0.01
-0.26, 0.01
-0.26, 0.01
-0.26, 0.01
-0.27, 0.02
-0.27, 0.02
-0.27, 0.02
-0.27, 0.02
-0.27, 0.02
-0.27, 0.02
-0.28, 0.04
-0.28, 0.04
-0.28, 0.04
-0.28, 0.04
-0.28, 0.04
-0.28, 0.04
-0.29, 0.06
-0.29, 0.06
-0.29, 0.06
-0.29, 0.06
-0.29, 0.06
-0.29, 0.06
-0.29, 0.07
-0.29, 0.07
-0.29, 0.07
-0.29, 0.07
-0.29, 0.07
-0.29, 0.07
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.09
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.30, 0.11
-0.30, 0.11
-0.30, 0.11
-0.30, 0.11
-0.30, 0.11
-0.30, 0.11
-0.30, 0.11
-0.30, 0.11
-0.30, 0.11
-0.30, 0.11
-0.30, 0.11
-0.30, 0.11
-0.31, 0.11
-0.31, 0.11
-0.31, 0.11
-0.31, 0.11
-0.31, 0.11
-0.31, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.32, 0.11
-0.31, 0.11
-0.31, 0.11
-0.31, 0.11
-0.31, 0.11
-0.31, 0.11
-0.31, 0.11
-0.31, 0.11
-0.31, 0.11
-0.31, 0.11
-0.31, 0.11
-0.31, 0.11
-0.31, 0.11
-0.31, 0.10
-0.31, 0.10
-0.31, 0.10
-0.31, 0.10
-0.31, 0.10
-0.31, 0.10
-0.30, 0.11
-0.30, 0.11
-0.30, 0.11
-0.30, 0.11
-0.30, 0.11
-0.30, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
-0.29, 0.11
