hx, hy
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.09, 0.63
-0.09, 0.63
-0.09, 0.63
-0.09, 0.63
-0.09, 0.63
-0.09, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.09, 0.63
-0.09, 0.63
-0.09, 0.63
-0.09, 0.63
-0.09, 0.63
-0.09, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.62
-0.10, 0.62
-0.10, 0.62
-0.10, 0.62
-0.10, 0.62
-0.10, 0.62
-0.11, 0.62
-0.11, 0.62
-0.11, 0.62
-0.11, 0.62
-0.11, 0.62
-0.11, 0.62
-0.12, 0.62
-0.12, 0.62
-0.12, 0.62
-0.12, 0.62
-0.12, 0.62
-0.12, 0.62
-0.12, 0.61
-0.12, 0.61
-0.12, 0.61
-0.12, 0.61
-0.12, 0.61
-0.12, 0.61
-0.12, 0.60
-0.12, 0.60
-0.12, 0.60
-0.12, 0.60
-0.12, 0.60
-0.12, 0.60
-0.12, 0.58
-0.12, 0.58
-0.12, 0.58
-0.12, 0.58
-0.12, 0.58
-0.12, 0.58
-0.12, 0.57
-0.12, 0.57
-0.12, 0.57
-0.12, 0.57
-0.12, 0.57
-0.12, 0.57
-0.12, 0.56
-0.12, 0.56
-0.12, 0.56
-0.12, 0.56
-0.12, 0.56
-0.12, 0.56
-0.12, 0.55
-0.12, 0.55
-0.12, 0.55
-0.12, 0.55
-0.12, 0.55
-0.12, 0.55
-0.11, 0.53
-0.11, 0.53
-0.11, 0.53
-0.11, 0.53
-0.11, 0.53
-0.11, 0.53
-0.11, 0.52
-0.11, 0.52
-0.11, 0.52
-0.11, 0.52
-0.11, 0.52
-0.11, 0.52
-0.10, 0.51
-0.10, 0.51
-0.10, 0.51
-0.10, 0.51
-0.10, 0.51
-0.10, 0.51
-0.09, 0.50
-0.09, 0.50
-0.09, 0.50
-0.09, 0.50
-0.09, 0.50
-0.09, 0.50
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.09, 0.49
-0.08, 0.48
-0.08, 0.48
-0.08, 0.48
